Time_stamp,State
24/05/12 17:51:00,1 
24/05/12 17:51:46,1 
24/05/12 18:27:11,0 
24/05/13 23:21:01,1 
24/05/13 23:21:26,0 
24/05/13 23:26:40,1 
24/05/13 23:27:04,0 
24/05/13 23:30:03,1 
24/05/13 23:30:54,0 
24/05/13 23:49:02,1 
24/05/13 23:49:30,0 
24/05/13 23:53:11,1 
24/05/13 23:57:34,1 
24/05/13 23:58:13,0 
24/05/14 00:00:30,1 
24/05/14 00:00:57,0 
24/05/14 00:06:43,1 
24/05/14 00:14:10,1 
24/05/14 00:20:35,1 
24/05/14 00:25:08,1 
24/05/14 00:28:31,1 
24/05/14 00:31:01,1 
24/05/14 00:31:27,0 
24/05/14 05:59:08,1 
24/05/14 05:59:32,1 
24/05/14 06:01:16,1 
24/05/14 06:05:35,0 
24/05/14 06:35:38,1 
24/05/14 06:36:01,1 
24/05/14 06:36:23,0 
24/05/14 08:03:44,1 
24/05/14 08:04:27,1 
24/05/14 08:05:15,1 
24/05/14 08:07:09,0 
24/05/15 14:35:38,1 
24/05/16 06:49:02,1 
24/05/16 06:49:24,0 
24/05/17 14:05:16,1 
24/05/17 14:14:57,1 
24/05/17 14:18:49,1 
24/05/17 14:19:54,0 
